cnpj,razao_social,nome_fantasia,segmento,sub_segmento,endereco,cidade,ring,telefone,whatsapp,email,instagram,website,google_maps_url,google_rating,google_reviews,porte,foco_felino,potencial_b2b,notas,lat,lng,completeness_score,bairro,fonte_enriquecimento,horario,facebook,fonte_descoberta,data_discovery,marketplace_ifood,marketplace_rappi,marketplace_ml,marketplace_shopee,rating_marketplace,digital_maturity,batch_source,categorias_google,cnae_principal,cnae_descricao,uf,cep,situacao_cadastral,data_abertura,natureza_juridica,capital_social,telefone_receita,email_receita,ja_no_crm
53.652.422/0001-08,GB Pet Shop LTDA,Mercadão Pet Eldorado,pet_shop,mercadao,"Av. N. Sra. dos Navegantes, 92 - Eldorado",Diadema,1_abc,,,,,,,,,epp,false,alto,Grande volume,-23.682878,-46.625356,3,Eldorado,serper:econodata.com.br+cnpj.biz,,,,,,,,,,,,,,,,,,,,,,,
52.307.407/0001-60,Pet Shop São Vicente LTDA,Pet Shop São Vicente,pet_shop,local,"R. Presidente Carlos Luz, 41 - Parque São Vicente",Mauá,1_abc,(11) 4513-7449,(11) 94061-1365,peetshop.saovicente@gmail.com,@petshopsaovicente,,,,,me,false,medio,Regional,-23.664042,-46.462607,5,,serper,,,,,,,,,,,,,,,,,,,,,,,
18.703.259/0001-64,Clínica Veterinária e Pet Shop Ribeirão LTDA,CV Pet Shop Ribeirão,clinica_vet,clinica_pet,"Av. Kaethe Richers, 35 - Pastoril",Ribeirão Pires,1_abc,,,,,,,,,me,false,medio,Clínica + pet shop,-23.714458,-46.415026,3,,,,,,,,,,,,,,,,,,,,,,,,,
,União de Proteção Animal do Grande ABC,UPA ABC,ong,protecao,,ABC Paulista,1_abc,(11) 4309-1084,(11) 97298-3131,,@protecaoanimalabc,,,,,ong,true,baixo,"10 anos, união protetores",-23.64722,-46.54917,2,,serper,,,,,,,,,,,,,,,,,,,,,,,
24.807.320/0001-16,ONG Canto da Terra,Canto da Terra,ong,resgate,,ABC Paulista,1_abc,,(11) 97055-3947,,,https://ongcantodaterra.org/,,,,ong,false,baixo,Resgate e tratamento,-23.647543,-46.548162,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Instituto Caramelo,Instituto Caramelo,ong,resgate,,ABC Paulista,1_abc,,,queroadotar@icaramelo.org,@InstitutoCaramelo,https://institutocaramelo.org,,,,ong,false,baixo,Cães e gatos,-23.64971,-46.546215,2,,serper,,,,,,,,,,,,,,,,,,,,,,,
,Associação Paulista de Auxílio aos Animais,APAA,ong,protecao,,ABC Paulista,1_abc,,,apaa@apaa.com.br,@ong_apaa,,,,,ong,false,baixo,Proteção animal SP,-23.650972,-46.549584,2,,serper,,,,,,,,,,,,,,,,,,,,,,,
,Dr. Andressa Veterinária em Domicílio,Dr. Andressa Vet,clinica_vet,domiciliar,Atendimento domiciliar ABC,ABC Paulista,1_abc,,(11) 95882-8004,,,https://andressa.vet/,,,,mei,true,medio,Silvestres e exóticos,-23.647365,-46.549052,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Garbin Pet Shop Clínica Veterinária,Garbin Pet Shop,pet_shop,clinica_pet,,Guarulhos,2_grande_sp,,,,,https://www.clinicaveterinariasp.com.br/,,,,epp,false,medio,Clínica + pet shop,-23.459906,-46.532581,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal Center,Animal Center,clinica_vet,centro_completo,"Av. Marcial Lourenço Serôdio, 578 - Cidade Serodio",Osasco,2_grande_sp,(11) 9 3802-1704,(11) 9 3802-1704,,@garbinclinicaveterinaria,https://www.animalcenter.vet.br/,,,,epp,false,alto,Centro completo,-23.660363,-46.534633,4,,serper,,,,,,,,,,,,,,,,,,,,,,,
,Dog Up Centro Clínico Veterinário,Dog Up,clinica_vet,24h,"R. Gen. Florêncio, 227 – Quitaúna – Osasco – SP · Telefone: (11) 3608-55",Osasco,2_grande_sp,(11) 3608-5560,(11) 96386-0159,,@espacodoguna,,,,,epp,false,alto,Clínica 24h renomada,-23.534677,-46.793385,3,,serper,,,,,,,,,,,,,,,,,,,,,,,
,Clínica Veterinária e Pet Shop Vidanimal,Vidanimal,pet_shop,clinica_pet,"Av. Municipal, 381 - Jardim Silveira",Barueri,2_grande_sp,(11) 4201-5691,,,,https://www.vidanimalbarueri.com.br/,,,,epp,false,alto,Fundada 2006,-23.513962,-46.878038,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Centro Veterinário Prime,CV Prime,clinica_vet,hospital,"Av. Eliseu de Almeida, 793 - estacionamento no local- tel. 3722-2165 WhatsAp",Guarulhos,2_grande_sp,(11) 3684-1080,(11) 9 9204 0362,,@centroveterinarioprime_gru,https://centroveterinarioprime.com.br/,,,,epp,false,alto,Nível hospitalar,-23.465992,-46.534976,4,,serper,,,,,,,,,,,,,,,,,,,,,,,
18.135.968/0001-90,Bella Cristina Paula de Almeida Silva,Banho e Tosa Bella,banho_tosa,local,,São Bernardo do Campo,1_abc,,,,,,,,,mei,false,medio,Round 2 — PME local,-23.690315,-46.565781,2,,,,,,,,,,,,,,,,,,,,,,,,,
24.429.498/0001-70,Marli Rocha Menezes,Banho e Tosa Cao Carinho,banho_tosa,local,Rua Japao 18 - Taboao,São Bernardo do Campo,1_abc,,,,,,,,,me,false,medio,"Round 2 — Fundada 2016, dados validados",-23.692439,-46.567024,3,Taboão,serper:solutudo+econodata+facebook,,,,,,,,,,,,,,,,,,,,,,,
12.946.452/0001-40,Santa Cachorrada Banho e Tosa Ltda ME,Santa Cachorrada,banho_tosa,local,"Estrada Poney Club, 1304 - Casa 01 - Jardim das Orquídeas",São Bernardo do Campo,1_abc,,,,,,,,,me,false,medio,Round 2 — PME estabelecida,-23.693264,-46.561207,3,Jardim das Orquídeas,serper:cnpj.info+solutudo+facebook,,,,,,,,,,,,,,,,,,,,,,,
17.698.845/0001-03,Priscila de Oliveira Silva,Priscila Banho e Tosa,banho_tosa,local,,São Bernardo do Campo,1_abc,,,,@priscila_banhoetosa,,,,,mei,false,medio,Round 2 — Empreendedora individual,-23.690216,-46.563827,2,,serper:cnpj.biz+instagram,,,,,,,,,,,,,,,,,,,,,,,
,Sofystpet Banho E Tosa,Sofystpet,banho_tosa,local,"Rua M M D C, 363 - Paulicéia",São Bernardo do Campo,1_abc,(11) 4178-0202,(11) 95218-3776,,@sofystpet,,,,,me,false,medio,Round 2 — 6+ anos ativa,-23.694031,-46.562867,3,Paulicéia,serper:instagram+facebook+solutudo,,,,,,,,,,,,,,,,,,,,,,,
,Pet Shop Sk Banho e Tosa Ltda,Pet Shop Sk,banho_tosa,pet_shop,"Av. Jurubatuba 646, Loja 2",São Bernardo do Campo,1_abc,,,,,,,,,me,false,alto,Round 2 — Híbrido banho+produtos,-23.694093,-46.565664,2,Centro,serper:cnpja+serasaexperian,,,,,,,,,,,,,,,,,,,,,,,
30.100.835/0001-84,Banho e Tosa Ltda ME,Show de Banho Pet Truck,banho_tosa,mobile,"Rua Ferdinando Demarchi, 111 - Casa 110 - Demarchi",São Bernardo do Campo,1_abc,(11) 4930-5608,,,,,,,,me,false,alto,"Round 2 — Pet truck móvel, inovador",-23.687484,-46.56358,4,Demarchi,serper:guia.saobernardo+econodata,,,,,,,,,,,,,,,,,,,,,,,
08.159.407/0001-78,Meu Bicho Pet Shop Banho e Tosa Ltda,Meu Bicho,banho_tosa,pet_shop,Rua Sergio Milliet 581 - Jordanópolis,São Bernardo do Campo,1_abc,(11) 4330-8001,,,@petshopmeubicho,,,4.9,5,me,false,alto,Round 2 — Híbrido banho+loja,-23.704544,-46.563523,4,Vila Domitila,serper:instagram+petboop+cnpja,Ter-Sáb 10h-17h,,,,,,,,,,,,,,,,,,,,,,
52.425.223/0001-02,Watson Miclote Martins Barbosa,Banho e Tosa Abc,banho_tosa,local,,Santo André,1_abc,,,,,,,,,me,false,medio,Round 2 — Nome regional ABC,-23.670957,-46.540992,2,,,,,,,,,,,,,,,,,,,,,,,,,
56.210.739/0001-82,Banho e Tosa Arco Iris Ltda,Banho e Tosa Arco Iris,banho_tosa,local,,Santo André,1_abc,,,,,,,,,me,false,medio,Round 2 — Marca colorida,-23.675868,-46.546943,2,,,,,,,,,,,,,,,,,,,,,,,,,
56.927.149/0001-75,Kimcao Banho e Tosa - Petshop Ltda EPP,Kimcao,banho_tosa,pet_shop,,Santo André,1_abc,,,,,,,,,epp,false,alto,"Round 2 — EPP, híbrido banho+loja",-23.675176,-46.545058,2,,,,,,,,,,,,,,,,,,,,,,,,,
57.410.727/0001-64,Pv Banho e Tosa Ltda,Pv Banho e Tosa,banho_tosa,local,Rua das Figueiras 1181. Jardim - Santo Andre - SP - 09080-370.,Santo André,1_abc,(11) 4972-3078,(11) 956776298,,,https://guiapinzon.com.br/sp/maua/parque-sao-vicente/banho-e-tosa-em-parque-sao-vicente,,,,me,false,medio,"Round 2 — Fundada set/2024, nova",-23.676012,-46.539657,5,,serper,,,,,,,,,,,,,,,,,,,,,,,
49.251.337/0001-60,Graziele Bruna dos Santos,Banho e Tosa Scooby,banho_tosa,local,,Santo André,1_abc,,,,,,,,,me,false,medio,Round 2 — Empreendedora jovem,-23.670689,-46.544683,2,,,,,,,,,,,,,,,,,,,,,,,,,
25.113.175/0001-36,Pet Shop São Paulo Banho e Tosa Ltda ME,Pet Shop São Paulo,banho_tosa,pet_shop,,Santo André,1_abc,,,,,,,,,me,false,alto,"Round 2 — 9+ anos, híbrido",-23.672456,-46.544035,2,,,,,,,,,,,,,,,,,,,,,,,,,
46.465.165/0001-30,Roptcare Banho e Tosa,Roptcare,banho_tosa,local,,Santo André,1_abc,(11) 4991-1983,,,,,,,,me,false,medio,Round 2 — Telefone validado,-23.670384,-46.543529,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Speciale,Pet Speciale,pet_shop,local,"Avenida Senador Roberto Simonsen, 663 - Santo Antônio",São Caetano do Sul,1_abc,,(11) 99686-7780,,@petspeciale,,https://www.facebook.com/petspeciale,,56,me,true,alto,"Round 2 — Banho+alimentação, foco felino",-23.625181,-46.567327,3,Santo Antônio,serper:facebook.com/petspeciale,,,,,,,,,,,,,,,,,,,,,,,
,For Pet São Caetano,For Pet,pet_shop,local,"Alameda São Caetano, 2423",São Caetano do Sul,1_abc,(11) 99419-9000,(11) 2786-5759,,@forpetsaocaetano,forpetsaocaetano.com.br,https://www.facebook.com/forpetsaocaetano,,,me,false,medio,Round 2 — Local estabelecido,-23.622809,-46.567198,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Sauro Pet Shop,Pet Sauro,pet_shop,local,,São Caetano do Sul,1_abc,(11) 99419-9000,(11) 99419-9000,,@petsauro,,,,,me,false,medio,Round 2 — WhatsApp ativo,-23.622623,-46.562117,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Store Galerinha Animal,Galerinha Animal,pet_shop,local,,?,1_abc,,,,@petstoregalerinhaanimal,,,,,me,false,medio,Round 2 — Nome família-friendly,-23.650805,-46.552245,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Shop Pedroso,Pet Shop Pedroso,pet_shop,local,"Estrada do Pedroso, 943",Santo André,1_abc,(11) 94702-4713,(11) 94702-4713,,@espacopet.sa,https://www.petshoppedroso.com.br/,,,,me,false,alto,"Round 2 — Site próprio, estabelecido",-23.66972,-46.543124,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Pet,Local Pet,pet_shop,local,"Rua Faustino Negri, 274 - Cooperativa",São Bernardo do Campo,1_abc,,(11) 98978-8209,,@localpet_,,,,,me,false,medio,Round 2 — Ofertas ativas no Instagram,-23.694673,-46.568323,3,Cooperativa,serper:facebook+instagram+benditoguia,,,,,,,,,,,,,,,,,,,,,,,
,Mundo Animal Distribuidora,Mundo Animal,distribuidor,atacado,"Rua Matilde, 238",Santo André,1_abc,(11) 4461-4189,(11) 96316-8005,contato@distribuidoramundoanimal.com.br,@mundoanimaldistribuidora,https://www.distribuidoramundoanimal.com.br/,,,,epp,false,muito_alto,"Round 2 — Fundada 1993, distribuidor estabelecido",-23.676823,-46.54218,4,,,,,,,,,,,,,,,,,,,,,,,,,
19.055.885/0002-35,Pet Para Pets Comércio e Participações Ltda,Pet Para Pets SBC,pet_shop,megaloja,"Av. Brigadeiro Faria Lima, 1760",São Bernardo do Campo,1_abc,,,,,https://www.cobasi.com.br/,,,,grande,false,alto,"Round 3 — Megaloja SBC, volume alto",-23.689063,-46.565323,4,,,,,,,,,,,,,,,,,,,,,,,,,
,PET LOVERS Pet Shop Ltda,PET LOVERS Pet Shop,pet_shop,local,"Praça Giovani Breda, 1884 - Assunção",São Bernardo do Campo,1_abc,(11) 4458-5055,(11) 4930-6772,,@petloverspetshop,https://www.facebook.com/petloverspetshop/,,,2096,me,true,alto,"Round 3 — 2k+ likes, foco amor pets",-23.694892,-46.565647,4,Assunção,serper:facebook+instagram+dicalocal+yelp,"Seg-Sex 9h-18h, Sáb 9h-15h",,,,,,,,,,,,,,,,,,,,,,
,Bom Cão Comércio de Artigos Ltda,Pet Shop Bom Cão,pet_shop,local,"R. Maria Nicolina Bellucce Piatto, 336",São Bernardo do Campo,1_abc,(11) 4339-5781,,,@petshop_bomcao,,,,,me,false,medio,Round 3 — Endereço confirmado,-23.687431,-46.564467,3,Montanhão,serper:yelp+facebook+instagram+solutudo,"Seg-Sex 9h-18h30, Sáb 9h-18h30, Dom/Feriados 9h-13h",,,,,,,,,,,,,,,,,,,,,,
,Best Pet Shop Hotel Vet Creche Ltda,BEST PET SHOP,pet_shop,completo,"Rua Marabá, 107 - Rudge Ramos",São Bernardo do Campo,1_abc,,(11) 93029-2183,,@bestpet.sbc,,,5.0,362,epp,false,muito_alto,Round 3 — Completo: hotel+vet+creche+banho,-23.664231,-46.564114,3,Rudge Ramos,serper:facebook+instagram+petboop+solutudo,"Ter-Qui 9h30-17h30, Sex-Sáb 9h-19h",,,,,,,,,,,,,,,,,,,,,,
,Dogfish PETSHOP Estética Animal,Dogfish PETSHOP,pet_shop,estetica,"Rua Miro Vetorazzo, 843 - Demarchi",São Bernardo do Campo,1_abc,,,,@novadogfishpetshop,,,,,me,false,medio,Round 3 — Estética animal especializada,-23.695308,-46.562934,2,Demarchi,serper:instagram+facebook+solutudo,,,,,,,,,,,,,,,,,,,,,,,
,4 Patas e Cia Pet Shop,4 Patas e Cia,pet_shop,completo,"MMDC, 270 – Loja 1 e 2 - Paulicéia",São Bernardo do Campo,1_abc,(11) 4178-6461,(11) 96164-0027,contato@4patasecia.com.br,@4patasecia,https://institucional.4patasecia.com.br/,,,,epp,false,alto,"Round 3 — Desde 1998, completo",-23.689946,-46.564404,4,Paulicéia,serper+fetch:instagram+4patasecia.com.br,,,,,,,,,,,,,,,,,,,,,,,
,Dom Pet Ltda,Pet Shop Dom Pet,pet_shop,local,"Av. Álvaro Guimarães, 1020 - Planalto, Box 12",São Bernardo do Campo,1_abc,(11) 2669-0000,(11) 96181-8170,,@DomPetBarbosa,https://www.facebook.com/DomPetBarbosa/,,,1750,me,false,alto,"Round 3 — 1750 likes, ""tudo que o pet precisa""",-23.693265,-46.563572,4,Planalto,serper:instagram+facebook,,,,,,,,,,,,,,,,,,,,,,,
,Pet Shop Rudge Ltda,Pet Shop Rudge,pet_shop,local,Rudge Ramos,São Bernardo do Campo,1_abc,(11) 2381-5689,(11) 2381-5689,,@petshop_rudge,,,,,me,false,alto,"Round 3 — Tel validado, Rudge Ramos",-23.671108,-46.567522,3,,,,,,,,,,,,,,,,,,,,,,,,,
,PetMais Rudge Ramos Ltda,Pet Mais Rudge Ramos,pet_shop,completo,"Rua Alfeu Tavares, 254 - Rudge Ramos",São Bernardo do Campo,1_abc,(11) 4362-2265,(11) 96290-9000,,@petmais.rudge,https://www.facebook.com/petmais.rudge/,,,,me,false,alto,"Round 3 — Endereço validado, variedade",-23.66837,-46.563369,4,Rudge Ramos,serper:instagram+facebook+benditoguia,,,,,,,,,,,,,,,,,,,,,,,
,Pet Shop São José Ltda,Pet Shop São José,pet_shop,local,"Av. Senador Vergueiro, 3687 - Rudge Ramos",São Bernardo do Campo,1_abc,(11) 4103-3445,(11) 97507-3270,,@pet_sao_jose,,,,,me,false,medio,Round 3 — Rudge Ramos Raiz,-23.664993,-46.568893,3,Rudge Ramos,serper:instagram+guia.saobernardo,,,,,,,,,,,,,,,,,,,,,,,
,Stillo Animal Pet Shop,Stillo Animal,banho_tosa,estetica,,São Bernardo do Campo,1_abc,,,,@stilloanimaloficiall,https://www.facebook.com/stilloanimaloficiall/,,,521,me,false,medio,"Round 3 — 521 likes, estética animal",-23.691395,-46.567271,2,,serper:instagram+facebook,,,,,,,,,,,,,,,,,,,,,,,
,Pet Shop Convivência Animal,Convivência Animal,pet_shop,local,"Av. Luiz Pequini, 902",São Bernardo do Campo,1_abc,(11) 4345-2028,,,,,,,,me,false,alto,"Round 3 — Tel validado, endereço confirmado",-23.688099,-46.561736,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Internacional Pets SBC,Internacional Pets,pet_shop,shopping,São Bernardo Plaza Shopping,São Bernardo do Campo,1_abc,(11) 4338-7334,(11) 98260-0024,,@internacionalpetssbc,,,,,me,false,alto,"Round 3 — Shopping, variedade produtos",-23.693012,-46.563588,3,Centro,serper:instagram+buscja,,,,,,,,,,,,,,,,,,,,,,,
53.153.938/0016-94,Petz São Bernardo LTDA,Petz São Bernardo,pet_shop,megaloja,"Av. Rotary, 825 - Centro",São Bernardo do Campo,1_abc,(11) 2181-7420,,,,https://www.petz.com.br/loja/petz-sao-bernardo,,,,grande,false,muito_alto,"Round 3 — Rede nacional, Center Castilho",-23.661128,-46.533777,5,,,,,,,,,,,,,,,,,,,,,,,,,
,Petshop Dogs & Cats,Dogs & Cats,pet_shop,local,"Av. Armando Italo Setti, 626 - Baeta Neves",São Bernardo do Campo,1_abc,(11) 95852-7218,(11) 95852-7218,nivealeandro@hotmail.com,@PetshopDogsCats,https://www.facebook.com/PetshopDogsCats/,,,,me,false,alto,Round 3 — Contatos completos validados,-23.6779,-46.557685,4,,,,,,,,,,,,,,,,,,,,,,,,,
,ACasaDosPet Ltda,A Casa dos Pet,pet_shop,local,"Av. Winston Churchill, 713",São Bernardo do Campo,1_abc,,,,@acasadospet,,,,,me,false,medio,Round 3 — Inauguração recente,-23.689171,-46.564457,2,,serper:instagram,,,,,,,,,,,,,,,,,,,,,,,
,Petshop VipCare,Vip Care,clinica_vet,clinica_pet,"Av. Dom Jaime de Barros Câmara, 740 - Planalto",São Bernardo do Campo,1_abc,(11) 4341-4552,,,@vipcarepetshop,https://www.petshopvipcare.com.br/,,4.8,204,epp,false,alto,"Round 3 — 15 anos, clínica+pet shop",-23.695395,-46.566107,4,Planalto,serper:instagram+yelp+veterinarios.biz,Aberto até 20h,,,,,,,,,,,,,,,,,,,,,,
,100% Pet Ltda,100% Pet,pet_shop,local,"Av. Kennedy, 990 - Jardim do Mar",São Bernardo do Campo,1_abc,(11) 4317-5300,,,@CemPorCentoPetSBC,cemporcentopet.com.br,,,,epp,false,alto,"Round 3 — Tel validado, website",-23.695244,-46.561267,4,,,,,,,,,,,,,,,,,,,,,,,,,
,LM Bichinho Clínica Veterinária,LM Bichinho,clinica_vet,clinica_pet,"Rua Aura, 54 - Rudge Ramos",São Bernardo do Campo,1_abc,(11) 4941-2878,(11) 95477-0954,,@lmbichinho,https://lmbichinho.com.br/,,,,epp,false,alto,"Round 3 — Clínica+Pet shop, 2 endereços",-23.66497,-46.564347,4,Rudge Ramos,serper+fetch:lmbichinho.com.br+instagram,Seg-Sex 08h-18h (Clínica) / Seg-Sex 09h-17h (Pet Shop),,,,,,,,,,,,,,,,,,,,,,
,Amity Pet Centro Veterinário,Amity Pet,banho_tosa,clinica_pet,"Al. Dona Tereza Cristina, 539 - Nova Petrópolis",São Bernardo do Campo,1_abc,(11) 2833-2450,(11) 2833-2450,contato@amitypet.com.br,@amitypet,https://amitypet.com.br/,,,,epp,false,alto,"Round 3 — Segurança, conforto, bem-estar",-23.69294,-46.568237,4,Nova Petrópolis,serper:instagram+amitypet.com.br+facebook,Banho e Tosa: Seg-Sáb horário comercial,,,,,,,,,,,,,,,,,,,,,,
,Pet Flor de Maio,Pet Flor de Maio,banho_tosa,local,"Rua Flor de maio, 63",São Bernardo do Campo,1_abc,(11) 95456-5815,(11) 95455-4208,lopes.carina655@gmail.com,@Petflordemaio,https://www.facebook.com/Petflordemaio/,,,,me,false,medio,Round 3 — Endereço validado,-23.688376,-46.561124,4,,serper:facebook,,,,,,,,,,,,,,,,,,,,,,,
,Guardião Clínica Veterinária,Banho e Tosa SBC,banho_tosa,clinica_pet,"Alameda Princesa Isabel, 329",São Bernardo do Campo,1_abc,(11) 2374-6905,,,@guardiaoclinicaveterinaria,,,,,me,false,alto,Round 3 — Tel+endereço validados,-23.694715,-46.564812,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Atmos Centro Veterinário,Atmos,clinica_vet,centro_completo,"R. XV de Agosto, 175 - Centro",São Bernardo do Campo,1_abc,(11) 2786-7830,(11) 95335-2309,contato@atmosveterinario.com,@atmos.vet,https://atmosveterinario.com/,,,,epp,false,muito_alto,Round 3 — Centro integral saúde animal,-23.665446,-46.528915,4,Centro,serper+fetch:atmosveterinario.com+instagram,,,,,,,,,,,,,,,,,,,,,,,
,EcoPet Centro Veterinário,EcoPet,clinica_vet,24h,"Av. Caminho do Mar, 2906 - Rudge Ramos",São Bernardo do Campo,1_abc,(11) 4368-7123,(11) 94028-5786,ecopetclinicaveterinaria@hotmail.com,@ecopetcentrovet,https://ecopetonline.com.br/,,,,epp,true,muito_alto,"Round 3 — 24h, silvestres, especialista felinos",-23.689273,-46.567673,4,Rudge Ramos,serper+fetch:ecopetonline.com.br+facebook,24 horas,,,,,,,,,,,,,,,,,,,,,,
,Animale Hospital Veterinário,Animale Hospital,clinica_vet,hospital_24h,"Rua Almirante Barroso, 114 - Vila Bocaina, Mauá - SP",São Bernardo do Campo,1_abc,(11) 4515-5535,(11) 94669-4122,recepcao@hovetanimale.com.br,@animalehospitalvet24h,https://www.veterinariapets.com.br/,,,,epp,false,muito_alto,Round 3 — Hospital 24h emergenciais,-23.691598,-46.564302,4,Vila Bocaina (Mauá),serper+fetch:veterinariapets.com.br+instagram,24 horas,,,,,,,,,,,,,,,,,,,,,,
,Vet Live Centro Veterinário,Vet Live,clinica_vet,24h,"Av. Gen. Asdrúbal da Cunha, 494 - Jardim Arpoador, São Paulo - SP",São Bernardo do Campo,1_abc,(11) 3782-8552,(11) 3782-8552,contato@vetlivecv.com.br,@vetlivecv,https://www.vetlivecv.com.br/,,,,epp,false,muito_alto,Round 3 — Centro Veterinário 24h,-23.66388,-46.528021,4,Jardim Arpoador (São Paulo),serper:vetlivecv.com.br+instagram,24 horas,,,,,,,,,,,,,,,,,,,,,,
